date,tweet,sentiment
Fri Mar 23 00:40:40 +0000 2018,@p0nd3ea Bitcoin wasn't built to live on exchanges.,1.0
Fri Mar 23 00:40:40 +0000 2018,@historyinflicks Buddy if I had whatever series of 19th diseases Bannon clearly has I'd want to be a bitcoin too.,1.0
Fri Mar 23 00:40:42 +0000 2018,@eatBCH @Bitcoin @signalapp @myWickr @Samsung @tipprbot patience is truly a virtue,0.0
Fri Mar 23 00:41:04 +0000 2018,"@aantonop Even if Bitcoin crash tomorrow morning, the technology it’s still revolutionary. A way of simplifying it. #Ihavetobepartofthis",0.0
Fri Mar 23 00:41:07 +0000 2018,"I am experimenting whether I can live only with bit coins donated. Please cooperate.

3NKbfJuuMKzNMYMcLqCf5w8TgeGvue7A5 ##bitcoin #Donation",1.0
Fri Mar 23 00:41:09 +0000 2018,@_Cryptosaur @TradeSatoshi yeah my bitcoin deposit not showing up... lets just hope it eventually does,0.0
Fri Mar 23 00:41:21 +0000 2018,"฿ value over 1 year: +792.65%, (+$7709.41) [Currently  $8682.015] #bitcoin",0.0
Fri Mar 23 00:41:34 +0000 2018,"Embrace the FUD.

That means more cheap coins for me and less dumb people in Bitcoin.

I'm playing the long game.",-1.0
Fri Mar 23 00:42:21 +0000 2018,"Fri Mar 23 01:41:52 2018 (0:11)
USD : 8712.93
Wght: 0.44
Blk#: 514742
Size: 124.4 KB
TXs:  208
Pool: 68 (0.0 MB)
#bitcoin",0.0
Fri Mar 23 00:42:26 +0000 2018,"#YABTCL - #Bitcoin #Lottery
Draw #701 - Winning Numbers: 03-10-16-18-46-62",1.0
Fri Mar 23 00:42:47 +0000 2018,New #bitcoin block 000000000000000000451731d60b7b0bc228f26b7b946cf3c610d52839d4e61a mined at height 514741.,1.0
Fri Mar 23 00:42:50 +0000 2018,New #bitcoin block 00000000000000000045b039632035f328a6dbbc05b69dbf562e103fb46bdf60 mined at height 514742.,1.0
Fri Mar 23 00:42:54 +0000 2018,@Arab88612723 @marcdemesel BitcoinPlus is the real 2nd bitcoin,0.0
Fri Mar 23 00:43:07 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:43:36 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:43:45 +0000 2018,"I am playing bitcoin trade, a loss of $ 300,000.
My life is over. #bitcoin #givemebitcoin #help

【BTC】
1PcXbdVubUPmy1xToYyjvho8rS #pleasert",0.0
Fri Mar 23 00:43:48 +0000 2018,"@CryptoShillNye HEY FUCK YOU, TRX IS NEXT BITCOIN BITCH.",-1.0
Fri Mar 23 00:43:51 +0000 2018,@NickSzabo4 Monopoly: Bitcoin Edition would be the least fun board game ever 😂,-1.0
Fri Mar 23 00:43:56 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
Fri Mar 23 00:44:15 +0000 2018,ICE Agency Charges Payza and Two Canadian Citizens With Bitcoin Money Laundering #ico #cryptocurrency #token,0.0
Fri Mar 23 00:44:15 +0000 2018,Anybody that knows how to use bitcoin?,0.0
Fri Mar 23 00:44:47 +0000 2018,@CryptoCobain I want to be a big man can u plzzz give me free bitcoin?,1.0
Fri Mar 23 00:45:02 +0000 2018,How do you lead a horse to water? With lots of carrots. #Proverb #bitcoin,0.0
Fri Mar 23 00:45:10 +0000 2018,"“SBI Bits has invested in more blockchain companies than Google.”-Jerry Chan

#bitcoincash #bitcoin #satoshivision conference",1.0
Fri Mar 23 00:45:34 +0000 2018,"Earn bitcoin on a daily basis!

1. Follow @slidecoin 
2. Complete instructions in pinned tweet",1.0
